NCC,LC,NMC,NMS,NMD,NMC,Entropy,NAD,MLMF,CFC,NUC,AGE,NDVE,EXP,REXP,NIR,
6,3,2,10,8,7,4,1,9,5,11,12,13,16,15,14,Avro
8,2,7,6,5,4,3,1,11,9,10,12,14,16,15,13,Cxf
7,6,5,11,3,2,4,1,9,8,10,12,16,15,13,14,Groovy
8,6,2,11,4,3,5,1,9,7,10,12,13,15,16,14,Zookeeper
7,8,2,9,5,4,3,1,10,6,11,12,15,13,14,16,Pdfbox
3,4,2,9,8,6,6,1,10,5,11,13,14,15,16,12,Mahout
6,5,2,9,8,7,3,1,10,4,11,12,13,16,15,14,Flume
4,3,2,9,8,6,7,1,10,5,11,12,15,14,15,13,Hudi
4,3,2,10,8,7,6,1,9,5,11,12,14,13,15,16,Nutch
4,3,2,9,8,6,7,1,10,5,11,14,13,16,15,12,Activemq
6,5,2,9,8,7,3,1,10,4,11,12,15,16,14,13,Maven
6,4,2,9,8,7,5,1,10,3,11,12,13,15,16,14,Kafka
4,7,3,9,8,5,2,1,10,6,11,12,13,16,15,14,Shiro
6,5,2,9,8,7,4,1,10,3,11,12,13,15,14,16,Storm
4,6,2,9,8,7,3,1,10,5,11,12,13,16,15,14,Curator
5,4,2,9,8,7,6,1,10,3,11,12,13,16,14,15,Ranger
5,3,2,9,6,4,7,1,10,8,11,12,15,16,13,14,Tez
5.470588235,4.529411765,2.529411765,9.176470588,7,5.647058824,4.588235294,1,9.823529412,5.352941176,10.82352941,12.17647059,13.82352941,15.23529412,14.70588235,14,
,,,,,,,,,,,,,,,,
-0.751,-0.752,-0.817,-0.437,-0.682,-0.701,-0.721,-0.897,-0.534,-0.745,-0.427,-0.33,-0.114,0.129,0.109,-0.018,
0.751,0.752,0.817,0.437,0.682,0.701,0.721,0.897,0.534,0.745,0.427,0.33,0.114,0.129,0.109,0.018,
4,3,2,10,8,7,6,1,9,5,11,12,14,13,15,16,
