CommitID,in_main_branch,merge,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
eb3b1bbd9c5c1648af42eca6ab33d3db80ea88d7,False,False,,,
86d3ba82a52c921bcf820f580405e06fd3d797cd,False,False,0.0,0.0,0.0
86c74fb4b57813378fe2fd71d44dc1f8f7a28056,False,False,0.0,0.0,0.1
751a179769ed29c686558cd618a7934754b6691f,False,False,0.5384615384615384,0.6923076923076923,1.0
e6715a6d0792cca5fb0fd6961d565fa869795433,False,False,,,
e2e7fd906abe882be5d9ffa6f8ce0ef9025f7107,False,False,,,
0039f146bd31549fee2b80119a3c977a5072a5d5,False,False,1.0,1.0,1.0
f352f56536e1855bdb97208b23f65c659eed3b69,False,False,0.0,0.0,0.0
f03f432cc7d71b7969d56f9dc17ca264a3771650,False,False,,,
2034a4ee5bc4fd9623797590e1dbb411e4848787,False,False,0.0,1.0,1.0
eeb1023f9630a576bf8ea2d5b0e485f565e90e42,False,False,,,
62806bad9162f22afe69f01e97ea96321d83710a,False,False,0.8373015873015873,0.7738095238095238,0.9761904761904762
127800a158ce6d6af08e5b32e01e153ade03d474,False,False,,,
79d571847ca673a23733377fdfd9a489017c499c,False,False,,,
a02c72575832bd9a451bd6d8fed62c7818eac611,False,False,1.0,0.0,1.0
e1d53e342f55f7ee51b8f4b04fc03aaa287712dd,False,False,0.0,1.0,0.0
f736dfd4dd6089d9323cf7290ca7852c9dd045cd,False,False,0.5272727272727272,1.0,0.9636363636363636
73b69bc59c61294a6689b695342e7f9d6b48db90,False,False,0.16981132075471697,1.0,0.8867924528301887
b9821a460520ea9c7f5bcc6cb35a33c725295f44,False,False,0.0,0.6060606060606061,0.7424242424242424
c529c6d5821d89bfb3f37e2c6bb0ec9b83635899,False,False,0.0,1.0,1.0
a84db2bc15c8876d40993d29adfe22f8aa9601cd,False,False,,,
a1ea81add49b8684f979988f342193a547795fb0,False,False,0.0,0.0,1.0
710e2379a2ef1c5c4d2cf6ada9e0dc49795f5c86,False,False,,,
97a5793f050400d38b07d4fbab0539809ce579ff,False,False,0.8055555555555556,1.0,0.7037037037037037
acba0fcdc047d14f0a28a88aec0a9b8b0cf524f8,False,False,1.0,0.0,1.0
f49a465349ae11ffccfffb1ed0693363a8b28a87,False,False,,,
b062afaea6c4534bea3e2ec1387afb549da72570,False,False,0.5872340425531914,0.5872340425531914,0.46382978723404256
490d0c72dc345c4683e9099e8f2b5244cffb868a,False,False,0.4580152671755725,0.7175572519083969,0.2900763358778626
c454652c1cd491976b894dc293856c8f73495725,False,False,0.0,0.0,1.0
b43975aa1e773cd471f5771d7c7faac7a0f73a7c,False,False,0.0,0.0,1.0
7d83e93e0d50487125d747265d2aa325cdce029d,False,False,,,
604f27bc286f17bb8b43c25c1aa3302882c80395,False,False,,,
d8d90987da6300e3c0a8741dfedc8109fee49da2,False,False,,,
14c0ae1564cd6a067abb735c3b4f09ddf200910a,False,False,,,
1dbb683d17f571213a8367d8e1306019063325d3,False,False,,,
e6994922462bdae76cceebdd19515a76f15497bf,True,False,,,
12b51f98003fb0af5966eb6710a8270d69dd7ee3,True,False,,,
116a973813541d4f6ca000ae27090074871e714e,True,False,,,
